,chainId,blockNumber,blockHash,transactionIndex,hash,log_index,nonce,from,to,token,token_address,value,price,value_usd,gas,gasPrice,gasUsed,maxFeePerGas,maxPriorityFeePerGas,type,callType,traceAddress,subtraces,output,error,result,address,code,init,r,s,v,input
414,1,15951448,,84,0xee2e0af251145f29d8f9725170100eda56194330e09a656e7683eb658c292041,65.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,BOBA,0x42bBFa2e77757C645eeaAd1655E0911a7553Efbc,143888863.525056079620646075,0.218239472680830854,31402229.700352275421653141,,,,,,,,,,,,,,,,,,,
416,1,15951448,,85,0xcfd14c259e34e43118e279f724530d862e7a1e1ed4d29413343e88d421b7ee86,70.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,DYDX,0x92D6C1e31e14520e676a687F0a93788B716BEff5,2022602.324614585784398268,2.046879919999999853,4140024.084398917083879722,,,,,,,,,,,,,,,,,,,
418,1,15951448,0x6a4bbc37c73333a5cf54064a5400488038d49efcbd11129c20719859ae906e03,88,0x22f93d9161e5565403f03f49b1c2aa4452cfbfb245227f52fc329a18b0acfcb4,,,0x84e4e8e4a2d7302ea0cebd636c75d705a94df3c1,0xd8019a114e86ad41d71a3eeb6620b19dd166a969,,,6.9E-17,1257.180307260000063252,8.6745E-14,4267.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0x4e705165244b434ee55b9e73b08d2252a181ea7531
419,1,15951449,,28,0x4ea223b01eab11401e47d3645fbc25d5ab58e1b4e607721054fdc1d0214cf134,31.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,SPELL,0x090185f2135308BaD17527004364eBcC2D37e5F6,1187934201.74558215593453561,0.000682650000000000,810943.282821621658748711,,,,,,,,,,,,,,,,,,,
421,1,15951449,,29,0xa6949da97651b73e56b5b772219744a9d98728cf90fa4e7f17758f859be0f0a8,32.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,EDEN,0x1559FA1b8F28238FD5D76D9f434ad86FD20D1559,4254163.191364423165231044,0.006794949494949494,28906.824028594414781410,,,,,,,,,,,,,,,,,,,
423,1,15951450,,35,0xbca7151330c567639935fcba3062a9cce8ade8fa9d48a34ce18b26765e1a8a8f,96.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,stETH,0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84,1E-18,1242.295462499999985084,1.242E-15,,,,,,,,,,,,,,,,,,,
425,1,15951450,,36,0xc486393ca461c9cf74553705ac976ac15d7a39fb8684ed5cf7390e27a4b4e0bb,98.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,GT,0xE66747a101bFF2dBA3697199DCcE5b743b454759,3165319.97523302,4.018530013309738358,12719933.322202728550302536,,,,,,,,,,,,,,,,,,,
428,1,15951450,,37,0x469c8d9a2f81da2406829f0ca9825dd233eaf7baf51fc43befc93554efc3cf51,100.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,DAWN,0x580c8520dEDA0a441522AEAe0f9F7A5f29629aFa,5266230.86838589488998575,0.675204613841524526,3555783.379888814529176514,,,,,,,,,,,,,,,,,,,
431,1,15951450,0xa3730136b47f8082b36c8e8c2bd73eccf7ce58f77c96c33f80ed3523e0671855,39,0x7b31c8cb0c03ce20b9b143d3ebee490d2f4f9ecbf2b9ffa087fd31f32fc362e6,,,0x84e4e8e4a2d7302ea0cebd636c75d705a94df3c1,0xd8019a114e86ad41d71a3eeb6620b19dd166a969,,,6.9E-17,1257.180307260000063252,8.6745E-14,4267.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0x4e705165244b434ee55b9e73b08d2252a181ea7531
432,1,15951451,,47,0x1881a1fa0fba44247898a3a679510e624601b7bb6bad0e2fd3273d457a8c8baa,51.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,WAVES,0x1cF4592ebfFd730c7dc92c1bdFFDfc3B9EfCf29a,116415.027790851050464035,3.127519281626315983,364090.244086950088292173,,,,,,,,,,,,,,,,,,,
435,1,15951451,,48,0xe75ce782b495f483e546404f57c47094d66eb9337d145a7695b3c9969dde744b,52.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,MATH,0x08d967bb0134F2d07f7cfb6E246680c53927DD30,6798784.759692559823610694,0.129663815921183811,881556.375568525988947401,,,,,,,,,,,,,,,,,,,
437,1,15951451,,49,0xd4065db3542ad7bf15141253badf89812c872bf28448b27b52e1aa9b6f880e11,53.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,HT,0x6f259637dcD74C767781E37Bc6133cd6A68aa161,501669.835157225835744738,5.290163240000000044,2653915.320565615758708564,,,,,,,,,,,,,,,,,,,
440,1,15951452,,27,0x513e5fefe657b3ac8e52958651548f730fb3c98e7b25dd17798c2defbfd1b161,67.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,AKRO,0x8Ab7404063Ec4DBcfd4598215992DC3F8EC853d7,42465557.447340252753891421,0.003376770000000000,143396.420421455145291758,,,,,,,,,,,,,,,,,,,
442,1,15951452,,40,0x817ed98e25ee34f939231582097eb19d37dc2715f5fc00d2b5e1f88b86b4c0f0,75.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,AMPL,0xD46bA6D942050d489DBd938a2C909A5d5039A161,897202.258441316,0.974557515062271618,874375.203494826930596135,,,,,,,,,,,,,,,,,,,
444,1,15951452,,41,0x037444c7a8cb33ad6883549726e37b9738a7cd155e4544b4498b2c41f3b0bce4,76.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,UBXT,0x8564653879a18C560E7C0Ea0E084c516C62F5653,86157827.858088763734382318,0.001515076825260133,130535.728302542168961071,,,,,,,,,,,,,,,,,,,
446,1,15951454,,117,0x2864060d6c08781893979667a04c819911ff515abf716d538bdad80dc0ca0fce,146.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,BVOL,0x81824663353A9d29b01B2DE9dd9a2Bb271d298cD,2166.41251691,,,,,,,,,,,,,,,,,,,,,
448,1,15951454,,118,0x2c66f1ef8c7814bc67ffaad4de6b484b7effadd8d53515c88abb3cab9caef051,147.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,DMG,0xEd91879919B71bB6905f23af0A68d231EcF87b14,14032630.684106032962693816,0.009186033526859415,128904.215934234187433547,,,,,,,,,,,,,,,,,,,
450,1,15951454,,119,0x3278481179b6a1e65ba4d3a532d1f455df4e97af0f69fda1ef7ef9351e63caa4,148.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,KNC,0xdeFA4e8a7bcBA345F687a2f1456F5Edd9CE97202,68389.612460176877259481,0.615700000000000025,42107.484391730905038403,,,,,,,,,,,,,,,,,,,
452,1,15951454,,120,0xb6e839262811fc9c859a502ddc60dd5a31e5de75a5258f9668e20d849e1ca656,149.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,TRYBBULL,0xc7038cCf60E48C5b7119E55566A6aD9f2D66C7c2,24.04465733,,,,,,,,,,,,,,,,,,,,,
454,1,15951454,,121,0x9edb10d23d3ca35cf186972e9b95b118c2f830431bccc8dc3bea7dc2b8e74e56,150.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,EXCHHEDGE,0xf8CC67e304f8e1A351ED83b4DBBe6B4076d51376,324.1974919,,,,,,,,,,,,,,,,,,,,,
456,1,15951455,,32,0x23585d73a9cb635dff462802d209e1f726e6c74b20ef6885d47c0303a508dc74,40.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,TOMOBULL,0xa38920C00D1a5303dB538A3Ea08da7a779e1F751,828726655640.57866975,,,,,,,,,,,,,,,,,,,,,
458,1,15951455,,33,0xf9e7ba09a1fe1fd6669c256eb5d59a69c1b432e60b23aaa9e3b03c8d11869104,41.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,HEDGESHIT,0x1d9cd2180Fd4E9771fCA28681034D02390B14e4c,11868.31012867,,,,,,,,,,,,,,,,,,,,,
460,1,15951456,,32,0x30945b5b8e2c1f12e68ec5b4823c1bbb4a011984d252b09ee0e372cd88f59759,34.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,HTHEDGE,0x3008186FE6e3bCA6D1362105A48ec618672ce5b3,178.68637573,,,,,,,,,,,,,,,,,,,,,
462,1,15951456,,33,0xe58b0e61380706988aec513739ee48513495b1a35955a56aea9d008173f04ff1,35.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,MIDHEDGE,0xbEd04D5Ba351FB2a93470bEE04BabB32D7F6817c,8161.28824027,,,,,,,,,,,,,,,,,,,,,
464,1,15951456,,34,0x62ae7e04ab06d41fd05e1646ee4a6d4a2ace2c6de41e6a1c44cc230236fb9716,36.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,TRXBULL,0xc175E77b04F2341517334Ea3Ed0b198A01A97383,25848158.08662668,,,,,,,,,,,,,,,,,,,,,
466,1,15951456,,35,0x0863279c5f8d10fcd4cfbdc95672230552ca97920cb33117953c6cbc2ab38ac0,37.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,BNBHEDGE,0x2840aD41cf25Ad58303Ba24C416E79dCe4161b4F,171432.34473536,,,,,,,,,,,,,,,,,,,,,
468,1,15951457,,24,0xf33ec4c17ae308a7a0fefc45359116780055101aebe2852ad531146f1c4c6a69,52.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,STG,0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6,2857847.869857902866700165,0.387471000000000010,1107333.171981711510241658,,,,,,,,,,,,,,,,,,,
470,1,15951457,,25,0x3a97bb2a93fa15ef92e5121a820a0b54946ef489245f73fd640045a2a9158b05,53.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,BNBBULL,0x9D1a62c2AD99019768b9126fdA004a9952853F6E,38867.75570865,,,,,,,,,,,,,,,,,,,,,
472,1,15951458,,2,0x0703f47e4dcd41de15bdf685b465f28cd409bdb80bf8f0a3252a57ae4bd64d09,2.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,XRPHEDGE,0x55b54D8fB1640d1321D5164590e7B020BA43def2,19714.36739057,,,,,,,,,,,,,,,,,,,,,
474,1,15951459,,109,0xb4feb777d876bf54d727276e3b857d442bbfb8d4cb34cd1cfaa25f04883e0a4b,90.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,EOSHEDGE,0xb38f206615325306DddEB0794A6482486B6B78b8,15181.46655201,,,,,,,,,,,,,,,,,,,,,
476,1,15951459,,110,0x175d72dba0b8eef4510a1a2e7316174c82e99183fdf1ebe68979b7557393240e,91.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,ETHBULL,0x871baeD4088b863fd6407159f3672D70CD34837d,1266415.390999506170521391,,,,,,,,,,,,,,,,,,,,,
479,1,15951459,,111,0x6e7d8c130c3642e3cd9e31c3ef84fda1c9315b961ef6cdf8824fd8295ac24f7c,92.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,HEDGE,0x1FA3bc860bF823d792f04F662f3AA3a500a68814,21173.29205541,,,,,,,,,,,,,,,,,,,,,
481,1,15951459,,112,0x34e7eedd761da08a9cb403e7482b2708a72a14e028e0300bc7df3bb92cf74d36,93.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,BULL,0x68eb95Dc9934E19B86687A10DF8e364423240E94,94753.521133858621138193,9.839612116188083846,932337.894600198953059316,,,,,,,,,,,,,,,,,,,
484,1,15951459,0xcd0df0d206d8478ba629318901e5030bfc2dc804cb212d941234b3e492fcd8a5,312,0xf6a457e90bf3aae02a891b882a32bbbe1d8d0a0f63d090108f2405f66f2d48b1,,,0x08650091fb5584cc6e4be9475e38d8c59c9d03e7,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,,,0.000003,1257.180307260000063252,0.003771540921780000,0.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0x8bf795ee6211635f59314e865f88591a94b1ff0c4f6080fd63506b3e5417
485,1,15951460,,28,0xa4672134d08b6f5285d1a6f4ddcce6e90d3b94581763c8af13e8e6cc25277d4c,95.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,CVX,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,301225.987521929898755967,3.915400200000000108,1179420.291788561862507500,,,,,,,,,,,,,,,,,,,
487,1,15951460,,54,0x69c0115dee923eaa05f520dec62f7cdd638c5738507447ea6ced7db535693110,112.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,ETHBEAR,0x2f5e2c9002C058c063d21A06B6cabb50950130c8,20904407288028.79675933,,,,,,,,,,,,,,,,,,,,,
489,1,15951460,0x805ba7b7e0eafa4491fd9dbee24528f677c299e48c6fc408ad403444f7c02aef,55,0x4eb35de27c429f5d3bff7ed17f3759e92131a2a163dd69e5feaa168dd6f921e6,,,0x84e4e8e4a2d7302ea0cebd636c75d705a94df3c1,0xd8019a114e86ad41d71a3eeb6620b19dd166a969,,,6.9E-17,1257.180307260000063252,8.6745E-14,4590.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0xe4b9b0e585a5244b43e4bba5e5ae9ee78eb0e8b4a2e58aa1e887aae794b10d0a0d0a68747470733a2f2f6170702e756e69737761702e6f72672f232f737761703f6f757470757443757272656e63793d307833346236393664633466353938383963633436353261393666383030356631666164616362653434
493,1,15951461,,27,0xcaecfd40756825cbdda738be2761e6a7e1bd6f9403cf42aee23ad41a8e02e745,70.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,ETHHEDGE,0x10e1E953DDBa597011f8bFA806aB0cC3415a622b,132123.96983607,,,,,,,,,,,,,,,,,,,,,
495,1,15951461,,28,0x8e02d9a17bc698292c3815d0b6d5309dd2f1fdfdb2123f91912a647459a15b85,71.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,EURT,0xC581b735A1688071A1746c968e0798D642EDE491,8246836.196474,1.035895000000000010,8542856.381746434312468362,,,,,,,,,,,,,,,,,,,
497,1,15951461,,29,0xb871c30204c84d7f9a0e507c29232e303f4352bfe9b8ce984e2ac4e4bb308517,72.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,VGX,0x3C4B6E6e1eA3D4863700D7F76b36B7f3D3f13E3d,639370.4555412,0.503407191270782040,321863.685205515913036375,,,,,,,,,,,,,,,,,,,
499,1,15951462,,21,0xa990a0394e2f373367cc4efa00ba283881520fc845d5245a96f0e2ae75c1d409,10.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,AGLD,0x32353A6C91143bfd6C7d363B546e62a9A2489A20,1592187.795166974784308557,0.108412105001874315,172612.430432344824316110,,,,,,,,,,,,,,,,,,,
501,1,15951462,,24,0x429c6fb423451af975c2ccd028555d858e6ed7f084c348a58869f062d28813ed,11.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,PUNDIX,0x0FD10b9899882a6f2fcb5c371E17e70FdEe00C38,1082296.150962618695981698,0.404935971404685457,438260.643237600098821751,,,,,,,,,,,,,,,,,,,
503,1,15951462,,25,0x226fa34a1479b74518b7e3b89c487d7deaf81dce12067d84ce74e74c4bccc4e1,12.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,STORJ,0xB64ef51C888972c908CFacf59B47C1AfBC0Ab8aC,549154.54102057,0.321105741466824746,176336.676074283955219044,,,,,,,,,,,,,,,,,,,
505,1,15951462,0x23058db1c9aa859972a112c7744765acbe55b1f47334361c5b8a8233d6984eae,33,0x82d4b657c5b5024be7cf8c09de9bc905d797507cab4c1bbc730cee8e75af0ae7,,,0x84e4e8e4a2d7302ea0cebd636c75d705a94df3c1,0xd8019a114e86ad41d71a3eeb6620b19dd166a969,,,6.9E-17,1257.180307260000063252,8.6745E-14,4590.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0xe4b9b0e585a5244b43e4bba5e5ae9ee78eb0e8b4a2e58aa1e887aae794b10d0a0d0a68747470733a2f2f6170702e756e69737761702e6f72672f232f737761703f6f757470757443757272656e63793d307833346236393664633466353938383963633436353261393666383030356631666164616362653434
506,1,15951462,0x23058db1c9aa859972a112c7744765acbe55b1f47334361c5b8a8233d6984eae,35,0x8d62b97ff675d60cee9d95fd9810bc1aa7ff4678a02cbc343353af0739c00783,,,0x84e4e8e4a2d7302ea0cebd636c75d705a94df3c1,0xd8019a114e86ad41d71a3eeb6620b19dd166a969,,,6.9E-17,1257.180307260000063252,8.6745E-14,4590.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0xe4b9b0e585a5244b43e4bba5e5ae9ee78eb0e8b4a2e58aa1e887aae794b10d0a0d0a68747470733a2f2f6170702e756e69737761702e6f72672f232f737761703f6f757470757443757272656e63793d307833346236393664633466353938383963633436353261393666383030356631666164616362653434
507,1,15951462,0x23058db1c9aa859972a112c7744765acbe55b1f47334361c5b8a8233d6984eae,106,0x822687cba0de42e348c015b1f2e354f601888830884ffd4838e56f65f596201c,,,0x8ca47b59c336ae2ce4f7a0eccd866cb4dbe562b8,0xd8019a114e86ad41d71a3eeb6620b19dd166a969,,,0.000123,1257.180307260000063252,0.154633177792980008,0.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0x
508,1,15951463,,44,0x511ed38536395eea355ac58dbe54b6dfa64724d12cb1148fe3cc19929bbf8b05,37.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,MTL,0xF433089366899D83a9f26A773D59ec7eCF30355e,425372.81191855,0.679692076228685993,289122.529704153596298596,,,,,,,,,,,,,,,,,,,
510,1,15951463,,45,0x213ae4f0b1cbd2addeac1b2900863d1f699433bcd6b226dc8244138ef928550c,38.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,CRO,0xA0b73E1Ff0B80914AB6fe0444E65848C4C34450b,50457367.86089424,0.083199999999999996,4198053.006026400566170529,,,,,,,,,,,,,,,,,,,
512,1,15951463,0xf6b252aef62f956d5d00673e4dcd5c188d4d77d82d6b0a053291f6ee336e99bf,52,0xaa93895aef962bd92c6f1d71a54b800f030fb6b6e42a534c0fe2c200aa9553b8,,,0x84e4e8e4a2d7302ea0cebd636c75d705a94df3c1,0xd8019a114e86ad41d71a3eeb6620b19dd166a969,,,6.9E-17,1257.180307260000063252,8.6745E-14,4590.0,,0.0,,,call,call,[],0.0,0x,,,,,,,,,0xe4b9b0e585a5244b43e4bba5e5ae9ee78eb0e8b4a2e58aa1e887aae794b10d0a0d0a68747470733a2f2f6170702e756e69737761702e6f72672f232f737761703f6f757470757443757272656e63793d307833346236393664633466353938383963633436353261393666383030356631666164616362653434
513,1,15951464,,0,0xbad2f38ea708e65640ad649f5f3b1e143d4afc35c6b340b2ab9336ecf951703d,0.0,,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,0x53222470CdcfB8081C0E3a50fd106f0D69e63F20,LDO,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,2262163.873042366896490023,1.089735606015639569,2465160.519096510021602648,,,,,,,,,,,,,,,,,,,
518,1,15951464,0xb064b5238b0c72f64dbd6efa657cda09932d9980491fe2c69b319dec8c5f0221,0,0xbad2f38ea708e65640ad649f5f3b1e143d4afc35c6b340b2ab9336ecf951703d,,,0x1111111254fb6c44bac0bed2854e76f90643097d,0x59abf3837fa962d6853b4cc0a19513aa031fd32b,,,1795.809810012391882565,1257.180307260000063252,2257656.728731901164919159,2300.0,,0.0,,,call,call,[2],0.0,0x,,,,,,,,,0x
519,1,15951464,,62,0x3d7de124770b8e792a26855eb24d55c0860f39b71a5780a3e2cc1358e9bcbc39,189.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,DOGEBEAR2021,0x5F0559B8dE5B111560fe7fAa31FE8135D9885169,12483928.70374835,,,,,,,,,,,,,,,,,,,,,
521,1,15951464,,63,0xead40cdd2317f583d74de33c23c75fea4bccc233fb39936511bf364a220ff399,190.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,DODO,0x43Dfc4159D86F3A37A5A4B3D4580b888ad7d4DDd,3052811.80984406746104838,0.106650839999999997,325584.943881790054579042,,,,,,,,,,,,,,,,,,,
523,1,15951464,,64,0x9e4cac5ff3b586a9b62eda8143d824ff04488736e2da9b85ea1b5c2c328e32c8,191.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,780298.971365312216696726,0.630363299999999960,491871.834576443683235304,,,,,,,,,,,,,,,,,,,
525,1,15951465,,81,0x193163448aa8255ccdf94fe06ba517a0433b1942319ec496262599a5eef2f9b9,94.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,MEDIA,0xdb726152680eCe3c9291f1016f1d36f3995f6941,408510.903823,5.593900894603001106,2285169.510350560244580329,,,,,,,,,,,,,,,,,,,
527,1,15951465,,82,0x2933fbf1810ca12a22ed2af8d9adf4ad1975e68f42b4641cd0ff0667bcd2e8c9,95.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,AUDIO,0x18aAA7115705e8be94bfFEBDE57Af9BFc265B998,2440494.911932689696682091,0.157400370000000012,384134.802121322802638888,,,,,,,,,,,,,,,,,,,
529,1,15951466,,34,0x2e9f191c8ddd95f0dfa547b798cae83073b417b5e8be7a48dcd6cec6d57fae7b,72.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,YFII,0xa1d0E215a23d7030842FC67cE582a6aFa3CCaB83,706.258565275132966708,1761.378556934595053463,1243988.692527011209180148,,,,,,,,,,,,,,,,,,,
531,1,15951466,,35,0xff0aded196975f2a5110fd542ef35a1e1d8de16ce07c779846236130b09095c5,73.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,FRONT,0xf8C3527CC04340b208C854E985240c02F7B7793f,4018.47734869792293751,0.237001139999999999,952.383712705585247804,,,,,,,,,,,,,,,,,,,
533,1,15951467,,37,0x513ca68c32994a21b80755e08ecd9586622ba7145dcc0079ee1fbf4d5adf508b,66.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,CREAM,0x2ba592F78dB6436527729929AAf6c908497cB200,63681.893527770734018076,0.465015247763492512,29613.051496864658097221,,,,,,,,,,,,,,,,,,,
535,1,15951467,,38,0x7d529e9be3cf2802fabc16cacee1dc9ce40fe19ab9985805abaa1ea3d0866829,67.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,HGET,0x7968bc6a03017eA2de509AAA816F163Db0f35148,538141.231669,0.402134403209628899,216405.103039707962508276,,,,,,,,,,,,,,,,,,,
537,1,15951467,,39,0x5aa00dbf373683c836cd1dcfc536226ecdf3164a7cd18aa8a903fbc0b0984c04,68.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,BAL,0xba100000625a3754423978a60c9317c58a424e3D,29850.1984332748109206,5.451247000000000398,162720.804658794025086867,,,,,,,,,,,,,,,,,,,
539,1,15951468,,66,0x092cc36e6928a4c26e69b1406061212217f779ae50fe2a035e85a97c9fc53166,49.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,COMP,0xc00e94Cb662C3520282E6f5717214004A7f26888,18403.959863573443813384,40.053960730000000012,737151.485652066876192992,,,,,,,,,,,,,,,,,,,
541,1,15951468,,67,0x167949153de88b74262fd1e08b637ebd0e674883445fd56feb688fb5d6b1ac72,50.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,MATICBULL,0x7e03521b9dA891Ca3F79A8728E2eaeb24886c5f9,6041593479.454604469999908864,,,,,,,,,,,,,,,,,,,,,
543,1,15951468,,146,0xb6f2b0a7f0eb4555018e7f913cde1b5f23f0c297a7210435f3ef706da276f95a,190.0,,0xD5Ab4Cc0295e5DBE38283a325C44129534884307,0x59ABf3837Fa962d6853b4Cc0a19513AA031fd32b,SOCKS,0x23B608675a2B2fB1890d3ABBd85c5775c51691d5,0.000429097878533467,12026.725822923315718072,5.160642536320059876,,,,,,,,,,,,,,,,,,,
545,1,15951469,,36,0x23de253cde79fc31cff496e3bc27b9853af84934e47354882a8f07b74fb68081,37.0,,0x2FAF487A4414Fe77e2327F0bf4AE2a264a776AD2,0xd8019a114e86ad41D71a3EeB6620b19Dd166A969,OKBHEDGE,0x889BC62E94bb6902D022bB82B38f7FCd637Df28C,1176.45600738,,,,,,,,,,,,,,,,,,,,,
